x,y,z,x_c,y_c,z_c,altG,lonG,latG,dop,hdop,altP
2955,-225,617,2960,-238,605,301,19552048,50045944,55,23,263656,
2966,-239,597,2960,-239,605,301,19552048,50045944,55,23,264169,
2967,-245,594,2960,-239,605,301,19552048,50045944,55,23,263656,
2972,-234,596,2961,-239,604,301,19552048,50045944,55,23,263912,
2954,-226,618,2960,-239,604,301,19552048,50045944,55,23,264169,
2978,-239,589,2960,-238,604,301,19552048,50045944,55,23,264169,
2959,-234,610,2960,-238,604,301,19552048,50045944,55,23,263656,
2958,-219,620,2960,-239,604,301,19552048,50045944,55,23,263656,
2960,-244,602,2960,-239,604,301,19552048,50045944,55,23,264425,
2962,-231,610,2961,-239,604,301,19552048,50045944,55,23,264169,
2972,-228,601,2961,-238,604,301,19552048,50045944,55,23,263656,
2967,-237,599,2960,-238,604,301,19552048,50045944,55,23,263656,
2959,-229,615,2960,-237,604,301,19552048,50045944,55,23,263656,
2954,-229,619,2960,-238,604,301,19552048,50045944,55,23,263656,
2968,-232,603,2960,-238,605,301,19552048,50045944,55,23,263400,
2964,-240,599,2961,-238,604,301,19552048,50045944,55,23,263058,
2959,-234,610,2960,-237,605,301,19552048,50045944,55,23,264169,
